# New planet
0.000000000000000000e+00 0.000000000000000000e+00
1.699479704009450841e-09 0.000000000000000000e+00
5.098450907476506899e-09 3.354718398349852178e-12
1.019690136491560441e-08 1.341930458197519142e-11
1.699479477856283199e-08 3.354911306214966110e-11
2.549207078932933731e-08 6.709947734408418848e-11
3.568864497005833043e-08 1.174254835539352090e-10
4.758440882109058676e-08 1.878817438469146148e-10
6.117922976814268577e-08 2.818221696202877172e-10
7.647295116250134545e-08 4.025997445551807685e-10
9.346539228353656584e-08 5.535662975112902717e-10
1.121563483435355269e-07 7.380722752988057794e-10
1.325455904948583227e-07 9.594665153521265290e-10
1.546328658394160488e-07 1.221096018330285377e-09
1.784178974404708970e-07 1.526305720669384574e-09
2.039003843367576775e-07 1.878438267112813676e-09
2.310800015589253631e-07 2.280833783245542144e-09
2.599564001482972814e-07 2.736829648059360086e-09
2.905292071779483644e-07 3.249760266576569848e-09
3.227980257760981080e-07 3.822956842560258191e-09
3.567624351518183920e-07 4.459747151339909706e-09
3.924219906230553951e-07 5.163455312781674260e-09
4.297762236469667676e-07 5.937401564433054578e-09
4.688246418525753343e-07 6.784902034872055505e-09
5.095667290757418672e-07 7.709268517290921267e-09
5.520019453964613224e-07 8.713808243344399307e-09
5.961297271784867238e-07 9.801823657292020508e-09
6.419494871112864639e-07 1.097661219046322470e-08
6.894606142543402621e-07 1.224146603607319916e-08
7.386624740837798693e-07 1.359967192441632092e-08
7.895544085413783834e-07 1.505451089846294894e-08
8.421357360858912449e-07 1.660925808988433674e-08
8.964057517467517737e-07 1.826718249552955300e-08
9.523637271801193389e-07 2.003154675437764883e-08
1.010008910727278787e-06 2.190560692498801111e-08
1.069340527475386466e-06 2.389261226347171219e-08
1.130357779320556292e-06 2.599580500200689636e-08
1.193059845033279485e-06 2.821842012792164523e-08
1.257445880326167411e-06 3.056368516336826074e-08
1.323515017924009672e-06 3.303481994561357605e-08
1.391266367636136348e-06 3.563503640797046703e-08
1.460699016431075476e-06 3.836753836139638900e-08
1.531812028513493503e-06 4.123552127678519007e-08
1.604604445403410650e-06 4.424217206797891566e-08
1.679075286017680407e-06 4.739066887552663006e-08
1.755223546753724025e-06 5.068418085121746560e-08
1.833048201575509024e-06 5.412586794341525636e-08
1.912548202101765132e-06 5.771888068322215228e-08
1.993722477696425593e-06 6.146635997149859689e-08
2.076569935561286430e-06 6.537143686676697878e-08
2.161089460830875196e-06 6.943723237402622730e-08
2.247279916669516497e-06 7.366685723450435823e-08
2.335140144370590709e-06 7.806341171637607459e-08
2.424668963457970825e-06 8.262998540647213712e-08
2.515865171789631531e-06 8.736965700300717278e-08
2.608727545663418627e-06 9.228549410935251017e-08
2.703254839924971195e-06 9.738055302888028654e-08
2.799445788077782517e-06 1.026578785609050846e-07
2.897299102395393400e-06 1.081205037977490925e-07
2.996813474035706047e-06 1.137714499229566207e-07
3.097987573157404079e-06 1.196137260106836136e-07
3.200820049038474470e-06 1.256503288262876964e-07
3.305309530196812749e-06 1.318842426281438008e-07
3.411454624512905141e-06 1.383184389707106454e-07
3.519253919354575343e-06 1.449558765088725045e-07
3.628705981703778578e-06 1.517995008035809334e-07
3.739809358285439121e-06 1.588522441288204072e-07
3.852562575698311378e-06 1.661170252799216937e-07
3.966964140547854376e-06 1.735967493832460709e-07
4.083012539581108201e-06 1.812943077072636012e-07
4.200706239823551230e-06 1.892125774750475915e-07
4.320043688717936035e-06 1.973544216782071578e-07
4.441023314265073028e-06 2.057226888922793579e-07
4.563643525166559754e-06 2.143202130936016218e-07
4.687902710969432094e-06 2.231498134776848854e-07
4.813799242212719595e-06 2.322142942791071749e-07
4.941331470575888849e-06 2.415164445929469647e-07
5.070497729029154565e-06 2.510590381977755002e-07
5.201296331985638030e-06 2.608448333802265326e-07
5.333725575455347534e-06 2.708765727611625008e-07
5.467783737200969750e-06 2.811569831234550244e-07
5.603469076895432263e-06 2.916887752413991390e-07
5.740779836281228775e-06 3.024746437117794565e-07
5.879714239331477335e-06 3.135172667866083693e-07
6.020270492412681956e-06 3.248193062075554082e-07
6.162446784449186604e-06 3.363834070420887190e-07
6.306241287089285132e-06 3.482121975213496209e-07
6.451652154872971077e-06 3.603082888797818469e-07
6.598677525401306131e-06 3.726742751965379654e-07
6.747315519507382729e-06 3.853127332386853231e-07
6.897564241428865510e-06 3.982262223062345909e-07
7.049421778982087924e-06 4.114172840790133065e-07
7.202886203737688753e-06 4.248884424654068599e-07
7.357955571197772438e-06 4.386422034529884687e-07
7.514627920974576279e-06 4.526810549610586824e-07
7.672901276970627569e-06 4.670074666951136877e-07
7.832773647560369477e-06 4.816238900032611000e-07
7.994243025773245528e-06 4.965327577345990200e-07
8.157307389478220651e-06 5.117364840995749758e-07
8.321964701569715069e-06 5.272374645323375100e-07
8.488212910154939193e-06 5.430380755550948654e-07
